op 0x78 SEI pc 0x8000, carry 0, z 0, int 1, d 0, b 0, v 0, neg 0, op_value 0
op 0xd8 CLD pc 0x8001, carry 0, z 0, int 1, d 0, b 0, v 0, neg 0, op_value 0
op 0xa9 LDA pc 0x8002, carry 0, z 0, int 1, d 0, b 0, v 0, neg 0, op_value 0
op 0x8d STA pc 0x8004, carry 0, z 0, int 1, d 0, b 0, v 0, neg 0, op_value 64
op 0xa2 LDX pc 0x8007, carry 0, z 0, int 1, d 0, b 0, v 0, neg 0, op_value 255
op 0x9a TXS pc 0x8009, carry 0, z 0, int 1, d 0, b 0, v 0, neg 1, op_value 255
op 0xad LDA pc 0x800a, carry 0, z 0, int 1, d 0, b 0, v 0, neg 1, op_value 255
op 0x10 BPL pc 0x800d, carry 0, z 0, int 1, d 0, b 0, v 0, neg 1, op_value 160
op 0xad LDA pc 0x800f, carry 0, z 0, int 1, d 0, b 0, v 0, neg 1, op_value 160
op 0x10 BPL pc 0x8012, carry 0, z 0, int 1, d 0, b 0, v 0, neg 0, op_value 32
op 0xad LDA pc 0x800f, carry 0, z 0, int 1, d 0, b 0, v 0, neg 0, op_value 32
op 0x10 BPL pc 0x8012, carry 0, z 0, int 1, d 0, b 0, v 0, neg 0, op_value 32
op 0xad LDA pc 0x800f, carry 0, z 0, int 1, d 0, b 0, v 0, neg 0, op_value 32
op 0x10 BPL pc 0x8012, carry 0, z 0, int 1, d 0, b 0, v 0, neg 0, op_value 32
op 0xad LDA pc 0x800f, carry 0, z 0, int 1, d 0, b 0, v 0, neg 0, op_value 32
op 0x10 BPL pc 0x8012, carry 0, z 0, int 1, d 0, b 0, v 0, neg 0, op_value 32
op 0xad LDA pc 0x800f, carry 0, z 0, int 1, d 0, b 0, v 0, neg 0, op_value 32
op 0x10 BPL pc 0x8012, carry 0, z 0, int 1, d 0, b 0, v 0, neg 0, op_value 32
op 0xad LDA pc 0x800f, carry 0, z 0, int 1, d 0, b 0, v 0, neg 0, op_value 32
op 0x10 BPL pc 0x8012, carry 0, z 0, int 1, d 0, b 0, v 0, neg 0, op_value 32
op 0xad LDA pc 0x800f, carry 0, z 0, int 1, d 0, b 0, v 0, neg 0, op_value 32
op 0x10 BPL pc 0x8012, carry 0, z 0, int 1, d 0, b 0, v 0, neg 0, op_value 32
op 0xad LDA pc 0x800f, carry 0, z 0, int 1, d 0, b 0, v 0, neg 0, op_value 32
